pc_id,policy_channel
1,1
1075,2
1079,3
1602,4
2111,6
2114,7
3712,8
5227,9
5396,10
5660,11
6863,12
7646,13
9511,14
10133,15
11021,16
11544,17
11560,18
11727,19
11949,20
11976,21
12124,22
12456,23
12878,24
13628,25
15476,26
95176,27
95179,28
95182,29
96025,30
97435,31
98066,32
98087,33
98090,34
98093,35
98168,36
98220,37
98372,38
98382,39
98392,40
98407,41
98408,42
98540,43
98541,44
98642,45
98689,46
98705,47
98768,48
98788,49
98802,50
98804,51
98816,52
99871,53
99903,54
100003,55
101267,56
101332,57
101337,58
101346,59
101473,60
101990,61
102569,62
102575,63
102594,64
102683,65
102742,66
102760,67
102764,68
102768,69
102774,70
102778,71
102783,73
102796,74
102798,75
102800,76
102804,78
102827,79
102833,80
102847,81
102861,82
102865,83
102869,84
102870,86
102918,87
102925,88
102959,89
102973,90
102999,91
103157,92
103181,93
103209,94
103255,95
103264,96
103280,97
103293,98
103314,99
103321,100
103329,101
103336,102
103339,103
103411,104
103416,105
103419,106
103471,107
103525,108
103563,109
103738,110
103749,111
103817,112
103819,113
103923,114
103946,115
103950,116
104104,117
104111,118
104129,119
104232,120
105001,121
105065,122
114995,123
114996,124
188991,125
190017,126
190022,127
190132,128
190269,129
190313,130
190335,131
190456,132
190518,133
190603,134
190613,135
190714,136
190899,137
190907,138
191031,139
191174,140
191281,143
191282,144
191283,145
191457,146
191473,147
191657,148
191734,149
191735,150
192047,151
195932,152
330716,153
331323,154
337316,155
338550,156
349211,157
355895,158
356387,159
356438,160
378217,163